Tests,Recovered,Population,Per Million_3,Per Million_1,Active,Changes Today,Confirmed,Critical,Changes Today_2,Name.1,Per Million,Deceased,Rank
102839,9730,558362,0,0,442,Unknown,10276,23,Unknown,Cape Verde,0,104,23
0,183,60390451,3,0,0,Unknown,509,7,Unknown,Tanzania,8,21,52
62215,575,12027170,48,0,86,Unknown,662,Unknown,Unknown,Burundi,55,1,49
0,572,876804,0,0,0,Unknown,596,Unknown,Unknown,Comoros,0,7,50
7498,923,220746,0,0,39,Unknown,979,Unknown,Unknown,São Tomé and Príncipe,0,17,48
0,8,603029,0,0,0,Unknown,10,Unknown,Unknown,Western Sahara,0,1,55
578117,49599,31325264,1583,10,1019,↑ 67 (0.13%),50941,15,Unknown,Ghana,1626,323,10
171247,7346,33259399,221,10,6810,Unknown,14493,23,Unknown,Angola,436,337,19
70683,5441,19321186,282,10,377,Unknown,6003,4,Unknown,Malawi,311,185,29
55581,5858,1164890,5029,103,241,Unknown,6219,11,Unknown,Eswatini,5339,120,28
377957,7296,2370112,3078,13,2267,Unknown,9594,1,Unknown,Botswana,4048,31,24
32711,1924,4862560,396,13,2924,Unknown,4911,2,Unknown,Central African Republic,1010,63,34
1595643,65691,116066567,566,14,38447,Unknown,105785,333,Unknown,Ethiopia,911,"1,647",4
3796876,270457,37082420,7293,143,49168,Unknown,324941,996,Unknown,Morocco,8763,"5,316",2
33078,1331,5103790,261,16,138,Unknown,1551,2,Unknown,Liberia,304,82,46
149000,22177,26801769,827,16,916,Unknown,23528,52,Unknown,Cameroon,878,435,11
404264,49592,6907929,7179,160,27779,↑ 650 (0.84%),78473,Unknown,↑ 13 (1.19%),Libya,11360,"1,102",6
0,3887,5570704,698,17,0,Unknown,5632,Unknown,Unknown,Congo,1011,93,32
172587,8250,14947674,552,18,702,Unknown,9220,Unknown,Unknown,Zimbabwe,617,268,25
369960,16701,18582641,899,19,396,↑ 30 (0.17%),17454,Unknown,Unknown,Zambia,939,357,14
224913,15516,16914525,917,20,51,↑ 15 (0.09%),15897,3,Unknown,Senegal,940,330,17
25390,1276,2148947,594,20,766,Unknown,2086,Unknown,Unknown,Lesotho,971,44,44
29037,2286,1986040,1151,22,92,Unknown,2421,5,Unknown,Guinea-Bissau,1219,43,42
434604,62249,11867269,5245,238,23641,Unknown,88711,298,Unknown,Tunisia,7475,"2,821",5
839614,51507,54231474,950,25,24485,Unknown,77372,63,Unknown,Kenya,1427,"1,380",7
280595,8976,2246103,3996,26,96,Unknown,9131,3,Unknown,Gabon,4065,59,26
0,9737,44246445,220,27,0,Unknown,16052,Unknown,Unknown,Sudan,363,"1,197",16
43488,1166,24541576,48,3,132,Unknown,1368,9,Unknown,Niger,56,70,47
0,2532,21124616,120,3,0,Unknown,2735,Unknown,Unknown,Burkina Faso,129,68,41
5290966,710099,59602202,11914,351,36677,Unknown,767679,546,Unknown,South Africa,12880,"20,903",1
98641,7591,4696915,1616,36,368,Unknown,8128,4,Unknown,Mauritania,1730,169,27
19985703,1745021,1351844506,1291,37,276226,↑ 809 (0.04%),2070980,"2,546",↑ 13 (0.03%),Total,1532,"49,731",0
294009,2579,12245994,211,4,294,Unknown,2916,Unknown,Unknown,Benin,238,43,39
0,11300,90609267,125,4,0,Unknown,12180,Unknown,Unknown,DR Congo,134,327,22
222321,13151,31593357,416,4,1762,Unknown,15037,Unknown,Unknown,Mozambique,476,124,18
607283,5164,13076574,395,4,454,Unknown,5665,Unknown,Unknown,Rwanda,433,47,31
609268,8611,46296169,186,4,9185,Unknown,17968,Unknown,Unknown,Uganda,388,172,13
210236,20798,26631279,781,5,209,Unknown,21138,Unknown,Unknown,Ivory Coast,794,131,12
12044,1290,11245285,115,5,1697,Unknown,3047,Unknown,Unknown,South Sudan,271,60,38
23883,3582,2442866,1466,50,21,Unknown,3726,Unknown,Unknown,The Gambia,1525,123,37
0,48794,44160040,1105,51,0,Unknown,74862,45,Unknown,Algeria,1695,"2,272",8
148562,13234,2558861,5172,57,518,↑ 32 (0.23%),13897,6,Unknown,Namibia,5431,145,20
62899,11853,13270401,893,6,913,↑ 15 (0.12%),12841,24,Unknown,Guinea,968,75,21
743298,62076,208118488,298,6,3140,Unknown,66383,10,Unknown,Nigeria,319,"1,167",9
0,1469,16607612,88,6,0,Unknown,1642,Unknown,Unknown,Chad,99,101,45
69259,4975,1420673,3502,60,70,Unknown,5130,Unknown,Unknown,Equatorial Guinea,3611,85,33
90600,5555,993628,0,61,52,Unknown,5668,Unknown,Unknown,Djibouti,0,61,30
1000000,101881,103086929,988,64,4598,Unknown,113027,46,Unknown,Egypt,1096,"6,548",3
92514,3024,20475720,148,7,1086,Unknown,4255,Unknown,Unknown,Mali,208,145,36
0,3412,16064356,212,7,0,Unknown,4445,Unknown,Unknown,Somalia,277,113,35
289552,433,1272606,340,8,51,Unknown,494,Unknown,Unknown,Mauritius,388,10,53
141883,2248,8353990,269,8,531,Unknown,2843,Unknown,Unknown,Togo,340,64,40
93734,16657,27966456,596,9,433,Unknown,17341,16,Unknown,Madagascar,620,251,15
0,1828,8040127,227,9,0,Unknown,2405,Unknown,Unknown,Sierra Leone,299,74,43
21655,473,3565662,133,Unknown,0,Unknown,551,Unknown,Unknown,Eritrea,155,Unknown,51
5200,159,98588,0,Unknown,0,Unknown,163,Unknown,Unknown,Seychelles,0,Unknown,54
