Name,Confirmed,Per Million,Changes Today,Critical,Deceased,Per Million_1,Changes Today_2,Tests,Active,Recovered,Per Million_3,Population
Total,"17,915,727","3,757","↑ 40,879 (0.23%)","28,097","315,018",66,↑ 648 (0.21%),483686448,"1,806,600","15,794,107","3,312","4,768,861,373"
Afghanistan,"44,988","1,146",↑ 282 (0.63%),93,"1,695",43,↑ 8 (0.47%),140435,"7,317","35,976",916,"39,268,779"
Armenia,"126,709","42,729",↑ 485 (0.38%),Unknown,"1,976",666,↑ 24 (1.23%),488393,"29,634","95,099","32,069","2,965,441"
Azerbaijan,"93,094","9,149",Unknown,Unknown,"1,131",111,Unknown,1607455,"28,122","63,841","6,274","10,175,183"
Bahrain,"85,705","49,707",Unknown,16,338,196,Unknown,1972822,"1,538","83,829","48,618","1,724,221"
Bangladesh,"447,341","2,706",Unknown,Unknown,"6,388",39,Unknown,2649072,"78,525","362,428","2,192","165,335,188"
Bhutan,382,0,↑ 3 (0.79%),Unknown,Unknown,Unknown,Unknown,195711,Unknown,360,0,"774,949"
Brunei,149,0,↑ 1 (0.68%),Unknown,3,0,Unknown,75632,1,145,0,"439,128"
Cambodia,306,18,Unknown,Unknown,Unknown,Unknown,Unknown,219004,Unknown,295,18,"16,809,668"
China,"86,442",60,↑ 11 (0.01%),6,"4,634",3,Unknown,160000000,315,"81,493",57,"1,439,323,776"
Cyprus,"8,643","7,138",Unknown,15,44,36,Unknown,577615,"6,544","2,055","1,697","1,210,828"
Georgia,"108,690","27,267","↑ 3,958 (3.78%)",Unknown,"1,012",254,↑ 36 (3.69%),1106785,"18,508","89,170","22,370","3,986,118"
Hong Kong,"5,702",758,↑ 73 (1.3%),8,108,14,Unknown,3994873,327,"5,267",700,"7,520,966"
India,"9,140,312","6,598",Unknown,"8,944","133,773",97,Unknown,132582730,"443,898","8,562,641","6,181","1,385,345,349"
Indonesia,"502,110","1,828","↑ 4,442 (0.89%)",Unknown,"16,002",58,↑ 118 (0.74%),5380620,"63,722","422,386","1,538","274,661,323"
Iran,"854,361","10,121",Unknown,"5,796","44,802",531,Unknown,5788016,"206,114","603,445","7,149","84,414,847"
Iraq,"535,321","13,194",Unknown,366,"11,958",295,Unknown,3268102,"57,911","465,452","11,472","40,573,008"
Israel,"329,403","35,814",↑ 485 (0.15%),298,"2,806",305,↑ 7 (0.25%),5337189,"8,456","318,141","34,590","9,197,590"
Japan,"130,179","1,031",Unknown,323,"1,974",16,Unknown,3252523,"17,042","111,163",880,"126,322,113"
Jordan,"183,429","17,908",Unknown,446,"2,236",218,Unknown,2358229,"67,175","114,018","11,131","10,243,004"
Kazakhstan,"126,182","6,689",↑ 716 (0.57%),221,"1,945",103,Unknown,4206738,"11,431","112,806","5,980","18,864,925"
Kuwait,"140,056","32,607",Unknown,86,866,202,Unknown,1052001,"7,012","132,178","30,773","4,295,304"
Kyrgyzstan,"69,885","10,643",↑ 304 (0.44%),133,"1,237",188,↑ 6 (0.49%),480095,"7,488","61,160","9,314","6,566,270"
Laos,25,3,Unknown,Unknown,Unknown,Unknown,Unknown,74068,Unknown,23,3,"7,316,916"
