Name.1,Confirmed,Per Million,Changes Today,Critical,Deceased,Per Million_1,Changes Today_2,Tests,Active,Recovered,Per Million_3,Population
Total,16607499,19103,"↑ 102,538 (0.62%)","34,581","375,033",431,"↑ 1,533 (0.41%)",295402824,9611385,6621079,7616,869366289
Albania,32761,11389,Unknown,13,699,243,Unknown,168449,16220,15842,5507,2876547
Andorra,6256,0,Unknown,20,76,0,Unknown,161318,822,5358,0,77314
Armenia,126709,42729,↑ 485 (0.38%),Unknown,"1,976",666,↑ 24 (1.23%),488393,29634,95099,32069,2965441
Austria,250333,27732,"↑ 3,145 (1.27%)",685,"2,459",272,↑ 71 (2.97%),2901857,72347,175527,19445,9026712
Azerbaijan,95281,9364,"↑ 2,187 (2.35%)",Unknown,"1,160",114,↑ 29 (2.56%),1617239,29646,64475,6336,10175183
Belarus,125482,13281,"↑ 1,483 (1.2%)",Unknown,"1,104",117,↑ 8 (0.73%),3091238,19680,104698,11081,9448087
Belgium,558779,48131,"↑ 1,875 (0.34%)","1,194","15,618","1,345",↑ 96 (0.62%),5687407,507212,35949,3096,11609588
Bosnia and Herzegovina,80553,24614,↑ 547 (0.68%),Unknown,"2,342",716,↑ 66 (2.9%),398160,32451,45760,13983,3272660
Bulgaria,121820,17585,Unknown,408,"2,880",416,Unknown,914723,82416,36524,5272,6927508
Croatia,105691,25809,"↑ 1,973 (1.9%)",235,"1,398",341,↑ 45 (3.33%),683104,19275,85018,20761,4095146
Cyprus,8643,7138,Unknown,15,44,36,Unknown,577615,6544,2055,1697,1210828
Czechia,492263,45933,Unknown,839,"7,196",671,Unknown,2920257,86966,398101,37147,10716864
Denmark,71654,12354,"↑ 1,169 (1.66%)",41,789,136,↑ 5 (0.64%),6894484,14833,56032,9660,5800283
Estonia,9956,7503,↑ 232 (2.39%),17,92,69,↑ 4 (4.55%),443316,4144,5720,4311,1326889
Finland,21936,3957,↑ 297 (1.37%),15,384,69,↑ 9 (2.4%),1818817,6252,15300,2760,5544136
France,2140829,32769,Unknown,"4,582","48,732",746,Unknown,19898736,1942576,149521,2289,65330803
